,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
139,5.62626970587878e-42,0.705050998057902,0.712,0.598,1.04603606371698e-37,6,Serpine2
140,1.90310750885145e-10,0.756583188283487,0.823,0.774,3.53825748045661e-06,6,Spp1
141,0,2.93866487248106,0.942,0.124,0,7,Hist1h2ap
142,0,2.45760709239289,0.893,0.066,0,7,Hist1h1b
143,0,1.84036140434467,0.983,0.258,0,7,Top2a
144,0,1.6340693704117,0.995,0.356,0,7,Pclaf
145,0,1.49123423676853,0.82,0.117,0,7,Hist1h2ae
146,0,1.41542592966907,1,0.536,0,7,Hmgb2
147,0,1.34956244321203,0.865,0.219,0,7,Hist1h1e
148,0,1.24936276757929,0.974,0.295,0,7,Atad2
149,0,1.06176155585593,0.882,0.186,0,7,Prc1
150,0,1.05828465494638,0.949,0.196,0,7,Mcm3
151,0,1.05001978184125,0.958,0.29,0,7,Cdk1
152,0,1.04224323684348,0.945,0.234,0,7,Rrm2
153,0,1.02258113969473,0.872,0.233,0,7,Mki67
154,0,1.01197916954705,0.914,0.098,0,7,Clspn
155,0,1.00610876113227,0.961,0.333,0,7,Lig1
156,0,0.999814483783477,0.965,0.354,0,7,Smc2
157,0,0.968433096335492,0.985,0.535,0,7,Nasp
158,0,0.945099498301785,0.957,0.404,0,7,Dnmt1
159,0,0.939227385150025,0.987,0.564,0,7,Rrm1
160,9.82235661063371e-295,0.943794664258958,0.992,0.803,1.82617254104902e-290,7,Dek
161,0,2.23745225242984,0.981,0.59,0,8,Gja1
162,0,1.99539417088076,0.976,0.173,0,8,Foxd1
163,0,1.92321169392434,0.989,0.737,0,8,Cxcl12
164,0,1.85371803934706,0.995,0.626,0,8,Col4a1
165,0,1.64193094164232,0.991,0.746,0,8,Lmo4
166,0,1.43681182316621,0.975,0.595,0,8,Col4a2
167,0,1.39479642182443,0.296,0.023,0,8,Elobl
168,0,1.35328461436876,0.863,0.213,0,8,Slc4a4
169,0,1.30948726862645,0.908,0.305,0,8,Atp1b1
170,0,1.24290288251383,0.962,0.467,0,8,Foxp2
171,6.4100416028705e-301,1.73503524042961,0.958,0.565,1.19175493480568e-296,8,Apoe
172,4.22666726792641e-295,1.47235278746683,0.919,0.479,7.85821978452878e-291,8,Kctd12
173,1.43175753258607e-288,1.15606431313251,0.901,0.418,2.66192360458403e-284,8,Fxyd5
174,5.36989699472088e-286,1.21491568655442,0.875,0.414,9.98371249258507e-282,8,Sned1
175,6.85484908058081e-267,1.20513262047985,0.92,0.461,1.27445354106158e-262,8,Smoc2
176,1.66304442811993e-259,2.00360534950518,0.977,0.646,3.09193220076057e-255,8,Igfbp2
177,2.01595539981546e-230,1.56692016630598,0.938,0.664,3.74806427933691e-226,8,Slc6a6
178,4.52232478128096e-226,1.36142554392581,0.895,0.502,8.40790623335757e-222,8,Serpinb1a
179,6.98067924354973e-164,1.21370206177513,0.989,0.828,1.29784788496077e-159,8,Cdkn1c
180,8.25976090564153e-159,1.18396840267561,0.846,0.52,1.53565474757687e-154,8,Ifitm1
181,0,1.87325995036522,0.874,0.195,0,9,Cenpf
182,0,1.67967925450382,0.978,0.346,0,9,Birc5
183,0,1.58611896844339,0.964,0.31,0,9,Cenpa
184,0,1.50962667864551,0.935,0.256,0,9,Tpx2
185,0,1.4301813621094,0.81,0.189,0,9,Cenpe
186,0,1.40109973800654,0.901,0.245,0,9,Mki67
187,0,1.39141729404363,0.891,0.178,0,9,Hmmr
188,0,1.32496682730422,0.909,0.234,0,9,Cdca8
189,0,1.24709847748842,0.834,0.211,0,9,Cdc20
190,4.41068012144524e-285,1.20861724185773,0.954,0.371,8.20033648179099e-281,9,Cdca3
191,3.27703344487776e-262,1.52912484448584,0.954,0.45,6.09266058071674e-258,9,Cks2
192,2.63887217827998e-256,1.24840611084361,0.976,0.37,4.90619115385815e-252,9,Pclaf
193,6.18004903533898e-236,1.36058819118126,0.998,0.805,1.14899471665022e-231,9,Stmn1
194,1.54513965620013e-225,1.37268541197055,0.827,0.286,2.87272364880728e-221,9,Ube2c
195,4.21475531971002e-224,1.28506016582204,1,0.963,7.83607309040487e-220,9,H2afz
196,9.98146077474001e-223,1.34374423773469,0.995,0.849,1.85575318723966e-218,9,Tubb4b
197,1.14539994432569e-155,1.22373802764367,0.634,0.211,2.12952757649033e-151,9,Prc1
198,1.50580993302368e-146,1.33776432104975,0.88,0.551,2.79960182747763e-142,9,Hmgb2
199,9.20009484537462e-138,1.4457162234398,0.703,0.285,1.71048163365205e-133,9,Top2a
200,1.22596374739037e-107,1.19299688209999,0.956,0.879,2.27931179914818e-103,9,Arl6ip1
201,7.60666005807492e-263,1.06909644460522,0.686,0.134,1.41423023799729e-258,10,Il1rl1
202,4.55189949420805e-181,1.49933713550013,0.895,0.426,8.4628915396316e-177,10,Hmga2
203,1.04378981136748e-170,0.797147401072883,1,0.999,1.94061401729442e-166,10,S100a6
204,1.94787121832071e-166,0.992617594882578,0.998,0.981,3.62148216910187e-162,10,Hsp90aa1
205,1.42535301469184e-157,0.983556304652186,0.996,0.967,2.65001632491506e-153,10,Esd
206,3.22876433726197e-149,0.830755457849339,0.996,0.931,6.00291865583746e-145,10,Msn
207,6.63036577844111e-136,0.882745222962119,0.998,0.98,1.23271760552777e-131,10,Ran
208,2.80263768306913e-135,1.1266790813251,0.994,0.85,5.21066398036214e-131,10,Zyx
209,7.5043199731491e-133,0.866381780481969,1,0.961,1.39520316940788e-128,10,Anxa1
210,1.78026637618925e-132,0.800194113690339,0.989,0.909,3.30987124661106e-128,10,Ybx3
211,6.33539441936831e-131,0.852558455075855,0.897,0.46,1.17787653044896e-126,10,Tnfrsf12a
